country,origin,system,status,url,date_recorded,sysID,imageID,statusID,matID
Ukraine,Soviet Union,BMP-1(P),captured,https://i.postimg.cc/cJphF4V3/2006-bmp1-capt-18-12-22.jpg,2023-01-01,5703,55015,2,380-5703550152
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/4NX2LFzD/2008-bmp1-destr-03-01-23.jpg,2023-01-04,5703,55016,1,380-5703550161
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/JnPhf7Sg/38.png,2023-01-04,5703,55017,1,380-5703550171
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/x1n11zY7/58.png,2023-01-04,5703,55018,1,380-5703550181
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/wjmcKb9z/1023-BTR-80-and-BMP-1-destr-08-01-23.jpg,2023-01-10,5703,55019,1,380-5703550191
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/FR9jLr3F/1000-bmp2-destr-07-01-23.jpg,2023-01-10,5703,55020,1,380-5703550201
Ukraine,Soviet Union,BMP-1(P),captured,https://i.postimg.cc/50t1LsvD/2004-bmp1-capt-06-04-22.jpg,2023-01-10,5703,55021,2,380-5703550212
Ukraine,Soviet Union,BMP-1(P),captured,https://i.postimg.cc/pT0W6wR2/2005-bmp1-capt-14-12-22.jpg,2023-01-10,5703,55022,2,380-5703550222
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/nz629qZt/2010-bmp1-destr-25-10-22.jpg,2023-01-12,5703,55023,1,380-5703550231
Ukraine,Soviet Union,BMP-1(P),captured,https://i.postimg.cc/C1t0LnWD/2004-bmp1-capt-17-01-23.jpg,2023-01-18,5703,55024,2,380-5703550242
Ukraine,Soviet Union,BMP-1(P),captured,https://i.postimg.cc/g0gdQTsg/2005-bmp1-capt-17-01-23.jpg,2023-01-18,5703,55025,2,380-5703550252
Ukraine,Soviet Union,BMP-1(P),damaged,https://i.postimg.cc/bwx7nRWb/2015-bmp1-dam-13-01-23.jpg,2023-01-21,5703,55026,3,380-5703550263
Ukraine,Soviet Union,BMP-1(P),captured,https://i.postimg.cc/15hGxkN9/2003-bmp1-capt-31-05-22.jpg,2023-01-24,5703,55027,2,380-5703550272
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/y8tvjXh0/2004-bmp1-destr-and-bmp1-dam-aband-26-01-23.jpg,2023-01-30,5703,55028,1,380-5703550281
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/s20D05mt/2023-bmp1-destr-29-01-23.jpg,2023-01-30,5703,55029,1,380-5703550291
Ukraine,Soviet Union,BMP-1(P),abandoned,https://i.postimg.cc/y8tvjXh0/2004-bmp1-destr-and-bmp1-dam-aband-26-01-23.jpg,2023-01-30,5703,55028,4,380-5703550284
Ukraine,Soviet Union,BMP-1(P),captured,https://i.postimg.cc/hGWKz3H2/2013-bmp1-capt-20-07-22.jpg,2023-01-30,5703,55030,2,380-5703550302
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/3xwDwxJ1/2002-bmp1-destr-10-02-23.jpg,2023-02-13,5703,55031,1,380-5703550311
Ukraine,Soviet Union,BMP-1(P),captured,https://i.postimg.cc/2SXLLN1D/2012-bmp1-capt-22-06-22.jpg,2023-02-13,5703,55032,2,380-5703550322
Ukraine,Soviet Union,BMP-1(P),captured,https://i.postimg.cc/tJHxRdYn/2018-bmp1-capt-04-02-23.jpg,2023-02-13,5703,55033,2,380-5703550332
Ukraine,Soviet Union,BMP-1(P),captured,https://i.postimg.cc/LscqvkkQ/2023-bmp1-capt-08-02-23.jpg,2023-02-13,5703,55034,2,380-5703550342
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/fTK3ht2g/2009-bmp1-destr-16-02-23.jpg,2023-02-18,5703,55035,1,380-5703550351
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/bYkdRKK3/2008-bmp1-destr-15-02-23.jpg,2023-02-21,5703,55036,1,380-5703550361
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/prbrHZnf/2013-bmp1-destr-20-02-23.jpg,2023-02-21,5703,55037,1,380-5703550371
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/7h36Y2gp/2016-bmp1-destr-20-02-23.jpg,2023-02-21,5703,55038,1,380-5703550381
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/J4KpSKKn/2001-bmp1-destr-21-02-23.jpg,2023-02-23,5703,55039,1,380-5703550391
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/cJ78LwCy/2007-bmp1-destr-27-02-23.jpg,2023-03-01,5703,55040,1,380-5703550401
Ukraine,Soviet Union,BMP-1(P),destroyed,https://twitter.com/UAWeapons/status/1632676484396531719,2023-03-07,5703,55041,1,380-5703550411
Ukraine,Soviet Union,BMP-1(P),abandoned,https://twitter.com/UAWeapons/status/1632676484396531719,2023-03-07,5703,55041,4,380-5703550414
Ukraine,Soviet Union,BMP-1(P),destroyed,https://i.postimg.cc/yxTxZB9z/2006-bmp1-destr-08-03-23.jpg,2023-03-09,5703,55042,1,380-5703550421
