country,origin,system,status,url,date_recorded,sysID,imageID,statusID,matID
Russia,Russia,110 BMP-3 688A-sb6-2KP,abandoned,https://i.postimg.cc/0y0fmtLp/1000-BMP-3-688-A-sb6-2-KP-aband-29-06-24.jpg,2024-07-03,456,915,4,7-4569154
Russia,Soviet Union,1101 BMP-2(K),abandoned,https://i.postimg.cc/L4Y70c5N/1015-bmp2-dam-aband-03-01-24.jpg,2024-01-19,463,937,4,7-4639374
Russia,Soviet Union,1101 BMP-2(K),abandoned,https://i.postimg.cc/63TMWgSJ/1016-bmp2-aband-31-12-23.jpg,2024-01-19,463,938,4,7-4639384
Russia,Soviet Union,1112 BMP-2(K),abandoned,https://i.postimg.cc/prMYWzBH/1065-bmp2-dam-aband-17-01-24.jpg,2024-01-21,477,968,4,7-4779684
Russia,Soviet Union,1112 BMP-2(K),abandoned,https://i.postimg.cc/PxwQn2Yy/1064-bmp2-dam-aband-17-01-24.jpg,2024-01-21,477,969,4,7-4779694
Russia,Soviet Union,1112 BMP-2(K),abandoned,https://i.postimg.cc/8P1MZ1Kt/1046-bmp2-dam-aband-18-01-24.jpg,2024-01-21,477,970,4,7-4779704
Russia,Soviet Union,1112 BMP-2(K),abandoned,https://i.postimg.cc/rsGGKsht/1063-bmp2-aband-17-01-24.jpg,2024-01-21,477,971,4,7-4779714
Russia,Soviet Union,1119 BMP-2(K),abandoned,https://i.postimg.cc/m2YVtZRZ/1018-bmp2-dam-aband-20-01-24.jpg,2024-01-24,478,979,4,7-4789794
Russia,Soviet Union,1119 BMP-2(K),abandoned,https://i.postimg.cc/sfZTC9Nh/1011-bmp2-dam-aband-21-01-24.jpg,2024-01-24,478,980,4,7-4789804
Russia,Soviet Union,1119 BMP-2(K),abandoned,https://i.postimg.cc/mkMj3BHw/1010-bmp2-dam-aband-21-01-24.jpg,2024-01-24,478,981,4,7-4789814
Russia,Russia,112 T-80BVM,abandoned,https://i.postimg.cc/hPJTRzdX/1006-T-80-BVM-dam-aband-22-01-24.jpg,2024-01-24,484,991,4,7-4849914
Russia,Soviet Union,112 Unknown BMP-1/2,abandoned,https://i.postimg.cc/nz2SWCgX/31d.png,2023-03-29,485,994,4,7-4859944
Russia,Soviet Union,1122 BMP-2(K),abandoned,https://i.postimg.cc/90xyt7s1/1056-2x-bmp2-dam-aband-22-01-24.jpg,2024-01-27,487,1002,4,7-48710024
Russia,Soviet Union,113 UAZ-452 van,abandoned,https://i.postimg.cc/wvvSqcM0/1025-UAZ-452-dam-aband-08-03-24.jpg,2024-04-08,495,1027,4,7-49510274
Russia,Soviet Union,1131 BMP-2(K),abandoned,https://i.postimg.cc/rpwxYVHt/1005-bmp2-dam-aband-18-12-23.jpg,2024-01-30,498,1035,4,7-49810354
Russia,Soviet Union,1131 BMP-2(K),abandoned,https://i.postimg.cc/ZqwFTBNc/1010-bmp2-dam-aband-18-12-23.jpg,2024-01-30,498,1036,4,7-49810364
Russia,Soviet Union,1131 BMP-2(K),abandoned,https://i.postimg.cc/ZR0P0bFh/1013-bmp2-dam-aband-23-01-24.jpg,2024-01-30,498,1037,4,7-49810374
Russia,Soviet Union,1131 BMP-2(K),abandoned,https://i.postimg.cc/W1n0nF5v/1019-bmp2-dam-aband-18-12-23.jpg,2024-01-30,498,1038,4,7-49810384
Russia,Soviet Union,1131 BMP-2(K),abandoned,https://i.postimg.cc/rwcSxCCj/1020-bmp2-dam-aband-28-01-24.jpg,2024-01-30,498,1039,4,7-49810394
Russia,Soviet Union,1142 BMP-2(K),abandoned,https://i.postimg.cc/ZndMTxnx/1017-bmp2-dam-aband-28-01-24.jpg,2024-02-09,507,1060,4,7-50710604
Russia,Soviet Union,115 Unknown BMP-1/2,abandoned,https://i.postimg.cc/3RQMCm3n/a2.png,2023-04-09,520,1083,4,7-52010834
